Index,Guess,Actual,AbsErr_min,ImagePath
57,18:05,13:46,258.907162475586,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_134542.dng
58,19:06,19:52,45.6221445719401,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20240420_195207.dng
59,19:35,19:01,33.9445963541667,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250502_190055.dng
60,07:32,15:54,501.952231470744,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_155419.jpg
61,08:54,16:26,452.488293711344,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_162619.jpg
62,13:47,17:10,202.18932240804,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_170941.jpg
63,14:04,17:10,185.430755360921,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_170944.jpg
64,08:40,17:49,548.368706512451,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_174833.jpg
65,08:00,19:27,686.545473734538,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230612_192641.jpg
66,10:42,14:50,248.219810740153,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230617_145001.jpg
67,07:13,19:37,695.390434392293,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230627_193722.jpg
68,13:17,19:33,376.11457901001,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_193318.jpg
69,08:08,20:20,708.323283131917,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_202003.jpg
70,12:05,09:53,131.95229695638,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230926_095316.jpg
71,11:49,08:19,209.673813374837,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20231212_081857.jpg
72,09:52,20:40,647.74002049764,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250607_203944.jpg
73,17:36,19:35,118.837210083008,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230701_193509.dng
74,17:37,19:35,117.81350402832,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230701_193518.dng
75,17:18,08:21,537.60578104655,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_082031.dng
76,17:19,10:02,437.025895690918,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_100154.dng
77,17:19,10:03,435.25715637207,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_100315.dng
78,16:56,08:29,506.258954366048,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_082925.dng
79,16:55,20:21,205.587125651042,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_202051.dng
80,16:27,17:04,37.2492492675781,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_170348.jpg
81,17:33,17:10,23.117680867513,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_170940.jpg
82,14:23,17:48,205.028480021159,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_174828.jpg
83,13:46,18:52,305.902573649089,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230614_185204.jpg
84,16:15,19:44,208.729856363932,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230629_194407.jpg
85,14:25,12:14,131.312066396077,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_121340.jpg
86,13:49,12:14,94.9053787231446,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_121351.jpg
87,13:26,10:10,195.280469258626,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_101025.jpg
88,14:32,13:53,39.5399927775065,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20240126_135232.jpg
89,10:57,20:40,583.615686035156,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20240628_204021.jpg
90,15:44,20:09,264.76034749349,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20240725_200838.jpg
91,14:35,16:20,104.948068745931,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250216_161952.jpg
92,18:12,19:01,49.186430867513,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250502_190055.jpg
93,11:13,07:40,212.266086069743,C:\Users\ssarp\.vscode\projects\sky-time\dataset\IMG_20230828_074017.jpg
94,16:49,10:02,407.312807718913,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_100135.dng
95,14:38,08:30,367.919756571452,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_082934.dng
96,14:38,08:30,368.087512461344,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_082946.dng
97,14:37,08:32,364.648362731934,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_083209.dng
98,14:41,09:53,288.195621236165,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230926_095316.dng
